index,version,year,engine,current_mileage,hand,gearBox,color,original_onership,next_test_in,annual_licensing_fee,price
187,סקודה אוקטביה STYLE,2018,999 ליטר בנזין,"116,550",1,אוטומטי,לבן,ליסינג,4 חודשים,"‏1,604 ₪",85900
188,יונדאי טוסון PANORAMIC,2019,1999 ליטר בנזין,"108,206",1,אוטומטי,בז' מטאלי,ליסינג,10 חודשים,"‏2,417 ₪",126900
189,יונדאי טוסון PANORAMIC,2019,1999 ליטר בנזין,"108,206",1,אוטומטי,בז' מטאלי,ליסינג,10 חודשים,"‏2,417 ₪",126900
190,יונדאי טוסון PANORAMIC,2019,1999 ליטר בנזין,"108,206",1,אוטומטי,בז' מטאלי,ליסינג,10 חודשים,"‏2,417 ₪",126900
191,יונדאי טוסון PANORAMIC,2019,1999 ליטר בנזין,"108,206",1,אוטומטי,בז' מטאלי,ליסינג,10 חודשים,"‏2,417 ₪",126900
192,ב.מ.וו סדרה 4 420I LUXURY,2014,1997 ליטר בנזין,"135,000",3,אוטומטי,לבן,פרטית,5 חודשים,"‏2,397 ₪",139000
193,מאזדה CX-5 LUXURY,2019,1998 ליטר בנזין,"85,571",1,אוטומטי,לבן,השכרה,12 חודשים,"‏2,019 ₪",156262
194,יונדאי איוניק HYBRID PREMIUM,2018,1580 ליטר בנזין,"73,243",1,אוטומטי,כסוף,ליסינג,8 חודשים,"‏1,604 ₪",94900
195,מאזדה CX-30 EXECUTIVE,2020,2488 ליטר בנזין,"29,000",1,אוטומטי,לבן,פרטית,9 חודשים,"‏2,417 ₪",149000
196,יונדאי סנטה פה ELITE,2021,2151 ליטר דיזל,"3,900",1,אוטומטי,לבן,פרטית,6 חודשים,"‏4,731 ₪",282000
197,טויוטה קורולה SUN,2019,1798 ליטר בנזין,"95,822",1,אוטומטי,לבן,ליסינג,2 חודשים,"‏1,811 ₪",106000
198,מאזדה 3,2020,1998 ליטר בנזין,"25,000",2,אוטומטי,שחור,פרטית,4 חודשים,"‏2,130 ₪",129000
199,טויוטה קורולה SUN,2019,1798 ליטר בנזין,"94,438",1,אוטומטי,לבן,ליסינג,2 חודשים,"‏1,811 ₪",106000
200,יונדאי I20 INSPIRE,2018,1368 ליטר בנזין,"46,000",1,אוטומטי,שחור מטלי,פרטית,2 חודשים,"‏1,353 ₪",72999
201,קיה פיקנטו GT LINE,2020,1248 ליטר בנזין,"39,000",1,אוטומטי,כסוף בהיר,פרטית,4 חודשים,"‏1,235 ₪",82000
202,טויוטה יאריס BLACKTOP,2017,1496 ליטר בנזין,"67,000",1,אוטומטי,כחול,פרטית,9 חודשים,"‏1,353 ₪",75000
203,מיצובישי לנסר LIMITED,2008,1798 ליטר בנזין,"185,000",7,אוטומטי,כסף,פרטית,4 חודשים,"‏1,369 ₪",19999
204,סוזוקי CROSSOVER GLX,2014,1586 ליטר בנזין,"194,000",1,אוטומטי,אפור מטל,פרטית,4 חודשים,"‏1,205 ₪",44900
205,יונדאי I10 INSPIRE,2014,998 ליטר בנזין,"87,000",2,ידני,שחור,פרטית,1 חודשים,‏985 ₪,29000
206,יונדאי I10 INSPIRE,2014,998 ליטר בנזין,"87,000",2,ידני,שחור,פרטית,1 חודשים,‏985 ₪,29000
207,סיאט איביזה AM5,2015,1197 ליטר בנזין,"92,000",2,אוטומטי,לבן,פרטית,5 חודשים,‏985 ₪,43900
208,סיטרואן ברלינגו,2022,1499 ליטר דיזל,0,1,אוטומטי,לבן,פרטית,11 חודשים,"‏2,130 ₪",155000
209,סיטרואן ברלינגו,2022,1499 ליטר דיזל,0,1,אוטומטי,לבן,פרטית,11 חודשים,"‏2,130 ₪",155000
210,סיטרואן ברלינגו,2022,1499 ליטר דיזל,0,1,אוטומטי,לבן,פרטית,11 חודשים,"‏2,130 ₪",155000
211,ניסאן קשקאי +2 ACENTA,2013,1997 ליטר בנזין,"160,000",2,אוטומטי,זהב מטאלי,ליסינג,2 חודשים,"‏1,693 ₪",57000
212,פיג'ו 3008 ACTIVE,2017,1560 ליטר דיזל,"176,000",1,אוטומטי,אפור,ליסינג,5 חודשים,"‏1,835 ₪",97000
213,טויוטה קורולה SUN,2017,1598 ליטר בנזין,"140,000",1,אוטומטי,ברונזה,ליסינג,8 חודשים,"‏1,604 ₪",79000
214,טויוטה קורולה GLI,2018,1598 ליטר בנזין,"100,000",1,אוטומטי,שחור מטלי,ליסינג,5 חודשים,"‏1,604 ₪",89000
215,קאדילאק XT5 LUXURY,2017,3649 ליטר בנזין,"68,000",1,אוטומטי,לבן,פרטית,7 חודשים,"‏3,357 ₪",195000
216,הונדה סיוויק COMFORT AT,2011,1799 ליטר בנזין,"173,000",4,אוטומטי,אפור בהיר מטלי,פרטית,1 חודשים,"‏1,369 ₪",34000
217,הונדה סיוויק COMFORT AT,2011,1799 ליטר בנזין,"173,000",4,אוטומטי,אפור בהיר מטלי,פרטית,1 חודשים,"‏1,369 ₪",34000
218,טויוטה קורולה SUN,2019,1798 ליטר בנזין,"121,218",1,אוטומטי,לבן,ליסינג,4 חודשים,"‏1,811 ₪",103000
219,טויוטה קורולה SUN,2019,1798 ליטר בנזין,"121,218",1,אוטומטי,לבן,ליסינג,4 חודשים,"‏1,811 ₪",103000
220,MG ZS NET,2019,999 ליטר בנזין,"75,000",1,אוטומטי,כסף מטלי,השכרה,11 חודשים,"‏1,102 ₪",86000
221,סובארו XV CROSSTREK SE,2019,1995 ליטר בנזין,"35,000",1,אוטומטי,אפור,פרטית,3 חודשים,"‏2,130 ₪",129900
222,אופל אינסיגניה EDITION,2015,1598 ליטר בנזין,"127,000",2,אוטומטי,כחול מטל,פרטית,3 חודשים,"‏1,693 ₪",49999
223,אופל אינסיגניה EDITION,2015,1598 ליטר בנזין,"127,000",2,אוטומטי,כחול מטל,פרטית,3 חודשים,"‏1,693 ₪",49999
224,שברולט בלייזר PREMIER,2020,3649 ליטר בנזין,"19,000",1,אוטומטי,אפור,פרטית,4 חודשים,"‏3,366 ₪",229500
225,טויוטה קורולה SUN,2014,1598 ליטר בנזין,"190,000",3,אוטומטי,לבן,ליסינג,6 חודשים,"‏1,424 ₪",50000
226,טויוטה קורולה SUN,2019,1798 ליטר בנזין,"48,000",1,אוטומטי,כסוף כהה,ליסינג,5 חודשים,"‏1,811 ₪",116770
227,סיטרואן ברלינגו MAXI,2018,1560 ליטר דיזל,"82,976",1,ידני,לבן,ליסינג,8 חודשים,"‏1,604 ₪",97900
228,סיטרואן ברלינגו MAXI,2018,1560 ליטר דיזל,"82,976",1,ידני,לבן,ליסינג,8 חודשים,"‏1,604 ₪",97900
229,טויוטה קורולה SUN,2016,1598 ליטר בנזין,"131,000",1,אוטומטי,לבן,השכרה,2 חודשים,"‏1,604 ₪",68000
230,אופל מריבה ENJOY,2015,1364 ליטר בנזין,"155,000",3,אוטומטי,לבן,השכרה,5 חודשים,"‏1,205 ₪",24900
231,שברולט ספארק LT,2018,1399 ליטר בנזין,"80,000",1,אוטומטי,שחור,השכרה,4 חודשים,"‏1,102 ₪",57000
232,טויוטה קורולה SUN,2019,1798 ליטר בנזין,"51,133",1,אוטומטי,לבן,ליסינג,2 חודשים,"‏1,811 ₪",110000
233,קיה נירו EX,2018,1580 ליטר בנזין,"85,020",1,אוטומטי,לבן,ליסינג,10 חודשים,"‏1,604 ₪",104000
234,מיצובישי ASX INTENSE,2019,1998 ליטר בנזין,"136,681",1,אוטומטי,לבן,ליסינג,11 חודשים,"‏1,604 ₪",88000
235,קיה ספורטז' LX,2014,1998 ליטר בנזין,"70,000",1,אוטומטי,שחור,פרטית,9 חודשים,"‏1,693 ₪",79900
236,שברולט ספארק LT,2017,1399 ליטר בנזין,"95,000",2,אוטומטי,אפור,ליסינג,1 חודשים,"‏1,102 ₪",50900
237,מרצדס E קלאס - קופה וקבריולה E300 AMG,2020,1991 ליטר בנזין,"16,000",1,אוטומטי,אפור,פרטית,4 חודשים,"‏4,731 ₪",508000
238,מרצדס GLC 200 COUPEAMGFL T,2020,1991 ליטר בנזין,"31,000",1,אוטומטי,שחור מטלי,פרטית,4 חודשים,"‏4,731 ₪",385000
239,פיאט טיפו COMFORT,2018,1598 ליטר בנזין,"106,620",1,אוטומטי,כחול,ליסינג,11 חודשים,"‏1,353 ₪",50711
240,טויוטה קורולה LIMITED,2018,1598 ליטר בנזין,"106,462",1,אוטומטי,לבן,ליסינג,8 חודשים,"‏1,604 ₪",100900
241,טויוטה קורולה LIMITED,2018,1598 ליטר בנזין,"106,462",1,אוטומטי,לבן,ליסינג,8 חודשים,"‏1,604 ₪",100900
242,טויוטה יאריס SOL,2018,1496 ליטר בנזין,"78,000",1,אוטומטי,אפור כהה מטלי,ליסינג,2 חודשים,"‏1,102 ₪",71000
243,טויוטה יאריס SOL,2018,1496 ליטר בנזין,"78,000",1,אוטומטי,אפור כהה מטלי,ליסינג,2 חודשים,"‏1,102 ₪",71000
244,מרצדס GLE 350D 4MATIC LAUNC E COUP,2020,2925 ליטר דיזל,"27,000",2,אוטומטי,כסף מטלי,פרטית,4 חודשים,"‏4,731 ₪",605000
