index,version,CompanyName,year,engine,engine_size,engine_type,current_mileage,hand,gearBox,color,original_onership,next_test_in,annual_licensing_fee,car_length,price
87,סקודה אוקטביה ELEGANCE,סקודה,2014,1395 ליטר בנזין,1395,בנזין,"145,000",2,1,ברונזה,פרטית,11,1584,465.9,58000
88,ב.מ.וו סדרה 5 530E iPERFORMANCE EXCLUSIVE,ב.מ.וו,2019,1998 ליטר חשמל/בנזין,1998,חשמל/בנזין,"50,000",1,1,אפור פלדה,ייבוא אישי,5,4731,493.6,330000
89,מאזדה 2 PURE WHITE,מאזדה,2020,1496 ליטר בנזין,1496,בנזין,"30,000",1,1,לבן,פרטית,12,1529,406.0,97900
90,מאזדה 3 ACTIVE,מאזדה,2009,1598 ליטר בנזין,1598,בנזין,"196,000",2,1,כסף מטלי,ליסינג,2,1074,449.0,17000
91,קיה ספורטז' URBAN,קיה,2015,1591 ליטר בנזין,1591,בנזין,"109,000",2,1,לבן,פרטית,5,1424,444.0,68900
92,קיה פיקנטו LX,קיה,2022,1197 ליטר בנזין,1197,בנזין,0,1,1,שחור מטלי,פרטית,11,1235,444.0,88000
93,יונדאי איוניק HYBRID,יונדאי,2022,1580 ליטר בנזין,1580,בנזין,0,1,1,שחור מטלי,פרטית,11,1811,444.0,146500
94,קיה פיקנטו LX,קיה,2022,1197 ליטר בנזין,1197,בנזין,0,1,1,לבן,פרטית,11,1235,444.0,88000
95,סיטרואן ברלינגו COMFORT,סיטרואן,2016,1560 ליטר דיזל,1560,דיזל,"190,000",1,2,לבן,ליסינג,5,1604,438.0,41500
96,קיה סטוניק EX,קיה,2019,998 ליטר בנזין,998,בנזין,"63,000",1,1,לבן,ליסינג,6,1529,414.0,96000
97,יונדאי I10 INSIGHT,יונדאי,2014,998 ליטר בנזין,998,בנזין,"53,000",2,1,בורדו מטל,פרטית,8,985,366.5,42900
98,טויוטה C-HR HYBRID LOUNGE-P,טויוטה,2019,1798 ליטר בנזין,1798,בנזין,"31,000",1,1,לבן,פרטית,7,2130,436.0,144900
99,סיטרואן C4 פיקאסו COMFORT PK,סיטרואן,2017,1598 ליטר בנזין,1598,בנזין,"152,000",1,1,בז מטאלי,ליסינג,7,2019,436.0,57500
100,פורד אדג' SEL SEL PLUS,פורד,2017,3497 ליטר בנזין,3497,בנזין,"113,000",1,1,לבן,ליסינג,7,2563,479.0,136000
101,סוזוקי CROSSOVER GLX,סוזוקי,2014,1586 ליטר בנזין,1586,בנזין,"236,000",3,1,לבן,פרטית,3,1205,430.0,35999
102,ניסאן קשקאי VISIA,ניסאן,2009,1997 ליטר בנזין,1997,בנזין,"183,000",4,1,לבן,פרטית,5,1369,431.5,27900
103,פיג'ו 2008 PREMIUM,פיג'ו,2020,1199 ליטר בנזין,1199,בנזין,"28,300",1,1,שחור,פרטית,8,1811,430.0,124900
104,הונדה סיוויק COMFORT,הונדה,2017,988 ליטר בנזין,988,בנזין,"106,000",2,1,כסף מטלי,פרטית,8,1604,454.5,74500
105,קיה ספורטז' URBAN,קיה,2016,1591 ליטר בנזין,1591,בנזין,"113,000",2,1,לבן,ליסינג,5,1604,448.0,82000
106,יונדאי I30 INSPIRE,יונדאי,2010,1591 ליטר בנזין,1591,בנזין,"118,000",2,1,אדום,פרטית,11,1262,447.5,27000
107,רנו פלואנס COMFORT,רנו,2013,1461 ליטר דיזל,1461,דיזל,"250,000",3,1,לבן,ליסינג,4,1424,461.3,23999
108,סוזוקי בלנו GLX,סוזוקי,2020,1242 ליטר בנזין,1242,בנזין,"20,639",1,1,כסוף מטאלי,פרטית,7,1235,399.5,92900
109,פורד פוקוס TREND,פורד,2013,1596 ליטר בנזין,1596,בנזין,"143,000",2,1,לבן,פרטית,1,1424,455.6,24000
110,קיה פיקנטו SPORT,קיה,2015,1248 ליטר בנזין,1248,בנזין,"79,000",1,1,לבן,פרטית,4,985,359.5,53900
111,קיה פיקנטו LX,קיה,2020,1248 ליטר בנזין,1248,בנזין,"21,394",2,1,לבן,פרטית,11,1235,359.5,77900
112,קיה סלטוס EX,קיה,2021,1999 ליטר בנזין,1999,בנזין,"8,592",1,1,צהוב,פרטית,1,1811,437.0,139900
113,ג'יפ גראנד צ'ירוקי LAREDO,ג'יפ,2021,3604 ליטר בנזין,3604,בנזין,"17,813",1,1,לבן,פרטית,12,4731,482.8,284900
114,מאזדה CX-5 PREMIUM,מאזדה,2021,2488 ליטר בנזין,2488,בנזין,"2,000",1,1,כסף,פרטית,4,3366,455.0,207000
115,סוזוקי CROSSOVER GLX,סוזוקי,2018,1373 ליטר בנזין,1373,בנזין,"67,000",1,1,לבן,פרטית,1,1604,430.0,92000
116,מאזדה 2 ACTIVE,מאזדה,2011,1498 ליטר בנזין,1498,בנזין,"270,000",3,1,אפור,פרטית,1,1074,392.0,17999
117,אאודי Q5 LUXURY,אאודי,2017,1984 ליטר בנזין,1984,בנזין,"117,000",1,1,שחור,פרטית,6,3357,466.3,199999
118,מאזדה CX-5 PREMIUM,מאזדה,2018,2488 ליטר בנזין,2488,בנזין,"119,000",1,1,לבן,ליסינג,9,2563,455.0,155000
119,טויוטה C-HR HYBRID CLUB,טויוטה,2019,1798 ליטר בנזין,1798,בנזין,"113,000",1,1,לבן,השכרה,5,1811,436.0,121500
120,לקסוס UX 300E PREMIUM B,לקסוס,2021,חשמלי,חשמלי,,"5,700",1,1,לבן,פרטית,5,3366,449.5,235000
121,שברולט אופטרה LS M0RE,שברולט,2008,1598 ליטר בנזין,1598,בנזין,"120,000",2,1,לבן,פרטית,5,1074,450.0,10000
122,יונדאי I25 INSPIRE,יונדאי,2016,1368 ליטר בנזין,1368,בנזין,"98,000",2,1,כסף מטלי,פרטית,5,1353,437.0,49000
123,פיאט קובו ACTIVE,פיאט,2016,1248 ליטר דיזל,1248,דיזל,"118,000",2,1,לבן,חברה,1,1604,395.9,32500
124,מאזדה 3 ACTIVE,מאזדה,2016,1496 ליטר בנזין,1496,בנזין,"95,000",2,1,אפור כהה,פרטית,6,1604,458.5,65000
125,מאזדה CX-5 EXECUTIVE,מאזדה,2015,1998 ליטר בנזין,1998,בנזין,"105,000",3,1,לבן,פרטית,2,1693,455.5,82000
126,קיה פיקנטו EX,קיה,2013,1248 ליטר בנזין,1248,בנזין,"149,000",2,1,שחור,פרטית,6,985,359.5,41900
127,סוזוקי אלטו GLX,סוזוקי,2011,996 ליטר בנזין,996,בנזין,"185,000",3,2,כחול בהיר,פרטית,1,880,350.0,12500
128,קיה פיקנטו LX,קיה,2019,1248 ליטר בנזין,1248,בנזין,"24,000",1,1,כסף,פרטית,4,1235,359.5,71000
129,אאודי A3 EXECUTIVE,אאודי,2015,1395 ליטר בנזין,1395,בנזין,"101,000",1,1,לבן,פרטית,4,1693,445.6,80000
130,יונדאי קונה PRESTIGE,יונדאי,2019,1591 ליטר בנזין,1591,בנזין,"35,000",1,1,שחור,פרטית,3,1811,416.5,110000
131,סוזוקי אלטו GLX,סוזוקי,2011,996 ליטר בנזין,996,בנזין,"220,000",2,2,אדום,פרטית,8,880,350.0,15999
132,סקודה סופרב STYLE,סקודה,2021,1498 ליטר בנזין,1498,בנזין,"64,000",1,1,שחור מטלי,פרטית,1,2417,486.9,215000
133,טויוטה יאריס SOL,טויוטה,2017,1496 ליטר בנזין,1496,בנזין,"95,000",1,1,שחור מטלי,ליסינג,5,1102,394.5,61900
134,קיה ספורטז' URBAN,קיה,2019,1999 ליטר בנזין,1999,בנזין,"58,000",1,1,כסף,פרטית,7,2130,448.5,127000
135,מרצדס GLE 350D 4MATIC EXCLUSIVE,מרצדס,2020,2925 ליטר דיזל,2925,דיזל,"59,000",1,1,לבן,פרטית,6,4731,492.4,469000
136,סקודה אוקטביה RS,סקודה,2021,1984 ליטר בנזין,1984,בנזין,"1,800",1,1,כחול מטל,פרטית,7,2417,470.2,240000
137,טויוטה קורולה SUN,טויוטה,2018,1598 ליטר בנזין,1598,בנזין,"117,000",1,1,לבן,השכרה,1,1604,462.0,82000
138,איסוזו D-Max S,איסוזו,2013,2499 ליטר דיזל,2499,דיזל,"230,000",2,2,לבן,פרטית,5,1693,529.5,89000
139,מיצובישי אאוטלנדר PREMIUM,מיצובישי,2015,1998 ליטר בנזין,1998,בנזין,"135,000",1,1,אדום,פרטית,6,1693,469.5,99000
140,סקודה סקאלה AMBITION,סקודה,2020,999 ליטר בנזין,999,בנזין,"66,000",1,1,לבן,ליסינג,1,1529,399.7,89000
141,ניסאן סנטרה SR,ניסאן,2017,1798 ליטר בנזין,1798,בנזין,"102,000",1,1,לבן,פרטית,6,1604,463.5,69890
142,יונדאי אקסנט INSPIRE,יונדאי,2020,1591 ליטר בנזין,1591,בנזין,"34,000",1,1,שחור,פרטית,6,1529,444.0,89900
143,מיצובישי אאוטלנדר INSTYLE,מיצובישי,2014,1998 ליטר בנזין,1998,בנזין,"198,000",1,1,אפור בהיר מטלי,פרטית,3,1693,465.5,69000
144,סיטרואן C3 SHINE PK,סיטרואן,2020,1199 ליטר בנזין,1199,בנזין,"17,916",1,1,ירוק בהיר,פרטית,11,1529,399.6,94900
145,קיה פיקנטו EX,קיה,2012,1248 ליטר בנזין,1248,בנזין,"125,000",2,1,אדום,פרטית,1,985,359.5,33000
146,יונדאי I20 INTENSE,יונדאי,2021,998 ליטר בנזין,998,בנזין,"15,000",1,1,לבן,ליסינג,1,1235,404.0,86500
147,סיאט לאון STYLE FL,סיאט,2017,1395 ליטר בנזין,1395,בנזין,"70,000",1,1,שחור,פרטית,3,1604,428.2,91000
148,יונדאי טוסון OPEN SKY,יונדאי,2016,1999 ליטר בנזין,1999,בנזין,"81,000",2,1,לבן,פרטית,4,2019,447.5,109900
149,יונדאי I10 INSPIRE,יונדאי,2015,998 ליטר בנזין,998,בנזין,"62,000",2,2,שחור מטלי,פרטית,3,985,366.5,33000
150,סוזוקי אלטו GLX,סוזוקי,2011,996 ליטר בנזין,996,בנזין,"99,600",2,2,אחר,פרטית,4,880,350.0,17000
151,קיה ספורטז' URBAN,קיה,2016,1591 ליטר בנזין,1591,בנזין,"55,963",1,1,אפור,פרטית,5,1604,448.0,96900
152,סוזוקי SX4 GLA-HB,סוזוקי,2009,1586 ליטר בנזין,1586,בנזין,"72,000",2,1,לבן,פרטית,3,1074,411.5,32900
153,סוזוקי אלטו GLX,סוזוקי,2013,996 ליטר בנזין,996,בנזין,"108,727",2,2,לבן,פרטית,2,985,350.0,27900
