index,version,CompanyName,is_GAC,is_maserati,is_daihatsu,is_porsche,is_ds,is_smart,is_seres,is_cadillac,is_דודג',is_infinity,is_alfa-romeo,is_buick,is_sangiang,is_mini,is_dacia,is_landrover,is_volvo,is_chrysler,is_opel,is_isuzu,is_mercedes,is_lexus,is_audi,is_citroen,is_bmw,is_mitsubishi,is_subaru,is_ford,is_jeep,is_volkswagen,is_suzuki,is_peugeot,is_reno,is_tesla,is_nissan,is_chevrolet,is_mazda,is_skoda,is_MG,is_hyundai,is_siat,is_fiat,is_honda,is_kia,is_toyota,is_cupra,year,engine,engine_size,engine_type,current_mileage,hand,gearBox,color,original_onership,is_private_import,is_rented,is_leasing,is_company,is_private,next_test_in,annual_licensing_fee,car_length,size,large,small,mini,medium,price
2941,ב.מ.וו X3 XDRIVE 28I X-LINE,ב.מ.וו,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,1997 ליטר בנזין,1997,בנזין,102000,1,1,כסוף מטאלי,פרטית,0,0,0,0,1,1,2397,465.7,medium,0,0,0,1,139000
1946,סקודה קודיאק STYLE,סקודה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017,1395 ליטר בנזין,1395,בנזין,99000,1,1,לבן,פרטית,0,0,0,0,1,7,2019,444.7,medium,0,0,0,1,153000
2175,ניסאן קשקאי VISIA,ניסאן,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2010,1997 ליטר בנזין,1997,בנזין,230000,2,1,קפה מטאלי,פרטית,0,0,0,0,1,1,1427,431.5,medium,0,0,0,1,34000
311,קיה ספורטז' EX,קיה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,1998 ליטר בנזין,1998,בנזין,130000,2,1,ברונזה,פרטית,0,0,0,0,1,4,1693,444.0,medium,0,0,0,1,77000
491,סקודה אוקטביה RS,סקודה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,1984 ליטר בנזין,1984,בנזין,0,1,1,אפור ברונזה,פרטית,0,0,0,0,1,11,2417,435.5,medium,0,0,0,1,266000
1287,סקודה ראפיד AMBITION,סקודה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018,999 ליטר בנזין,999,בנזין,169000,2,1,לבן,ליסינג,0,0,1,0,0,2,1353,448.3,medium,0,0,0,1,55000
1720,הונדה סיוויק COMFORT,הונדה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,1798 ליטר בנזין,1798,בנזין,85000,2,1,כסף,פרטית,0,0,0,0,1,3,1604,437.0,medium,0,0,0,1,79900
2527,סקודה אוקטביה AMBITION,סקודה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,1197 ליטר בנזין,1197,בנזין,157866,2,1,לבן,ליסינג,0,0,1,0,0,4,1604,465.9,medium,0,0,0,1,64000
2705,שברולט ספארק PREMIER,שברולט,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2021,1399 ליטר בנזין,1399,בנזין,12000,1,1,לבן,פרטית,0,0,0,0,1,4,1235,365.5,mini,0,0,1,0,74500
60,ג'יפ רנגלר UNLIM RUBICON,ג'יפ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,1995 ליטר בנזין,1995,בנזין,9000,2,1,שחור מטלי,פרטית,0,0,0,0,1,2,4731,488.2,large,1,0,0,0,420000
2517,סאנגיונג רודיוס DLX,סאנגיונג,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,2157 ליטר דיזל,2157,דיזל,76008,1,1,אפור כהה,ליסינג,0,0,1,0,0,5,2563,513.0,large,1,0,0,0,139988
1062,פורד פוקוס TREND,פורד,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1596 ליטר בנזין,1596,בנזין,130000,4,1,כסף,ליסינג,0,0,1,0,0,3,1424,453.4,medium,0,0,0,1,21900
