index,price
2639,146000
428,47900
1328,91000
1950,38000
669,239999
31,110000
1341,23900
722,80900
951,390000
1914,114900
2563,149999
214,27999
989,18000
1164,12999
2793,55000
2007,25800
326,29900
560,119900
1383,162000
1724,295000
1086,77000
2332,111900
341,74900
1653,74900
147,91000
2340,79000
2413,82000
1107,83500
848,88000
966,50999
1072,29000
2465,105000
1905,36000
155,139900
665,43000
661,46000
1002,195000
2342,199500
2517,139988
176,99900
2655,75000
1879,94000
1524,266355
2818,68098
1203,70000
24,25000
2811,135900
2684,63000
2078,130999
2658,43450
875,107500
2696,15900
938,19999
2698,48900
1552,89000
346,249900
2508,26000
2973,185000
2129,55000
1926,56000
385,101000
1829,120000
2162,22000
2509,38486
2947,49000
243,91000
2087,38680
1826,119000
936,386400
1689,78400
2581,49900
312,49900
1459,99900
2926,120000
2108,139000
1332,15000
968,69000
1454,110000
660,65000
1934,180000
935,51000
370,132000
566,78900
1973,115000
1854,107500
1024,49900
824,118000
982,122000
2428,20999
2069,53902
1645,47000
2583,82900
2246,128000
2119,178000
813,109000
1792,138000
1430,79900
778,13000
1749,399000
1320,85000
2106,121000
2872,34900
1052,134900
2322,101000
1013,172000
1928,113000
1401,209000
1822,43000
2248,169000
2494,204900
2592,129500
126,41900
2092,130000
2991,71906
887,130900
2457,75060
1347,99000
1007,175900
355,110000
1003,135000
1483,85000
682,27000
827,75000
2949,37000
2443,36900
2086,49000
984,85500
1233,139900
2554,110000
1639,38500
140,89000
217,20000
2466,41900
362,22900
2665,139000
345,69900
2059,109000
711,31900
2906,106500
10,124900
2417,37000
1834,441600
793,72000
2766,139500
94,88000
129,80000
1900,109900
2396,57208
1932,97150
2147,69900
1865,117000
1658,20900
516,130000
1857,75000
1277,109900
950,110000
1120,59000
419,59999
922,114900
2716,63420
477,67000
2035,380000
2178,41618
1692,165900
2213,57900
1471,84900
1202,62000
1669,79000
2775,110000
1970,107000
820,58900
1997,79900
2869,97900
1248,289900
2661,152000
2614,106094
1046,120000
1888,73900
615,339900
1318,229000
2885,139000
2461,143999
1772,164900
2953,73900
131,15999
77,135000
2052,89900
724,68900
1314,445000
1851,105271
2297,165000
2487,100000
1372,50999
1855,42000
1319,82000
2875,165000
2172,68500
375,67900
1908,35000
333,109900
